is_multifam,YEAR,weighted_count,count,percent
TRUE,1900,15449629,154330,20.864333255239885
TRUE,1910,17452380,174693,19.4691894402808
TRUE,1920,14713978.980001047,145770,14.339477037807416
TRUE,1930,16529652.650008418,163745,13.848883528884976
TRUE,1940,14258360,147963,11.290716265968541
TRUE,1950,11025036,158731,7.525165401912891
TRUE,1960,7337042,73650,4.2071048195513
TRUE,1970,7439400,74394,3.7724310410923896
TRUE,1980,14004600,140046,6.337155343702642
TRUE,1990,15340078,147230,6.352202679056431
TRUE,2000,19539506,187491,7.141525474182142
TRUE,2006,19502110,151382,6.694789659491228
TRUE,2011,21553943,167555,7.100145802080564
TRUE,2016,24748452,195994,7.8569722175228245
TRUE,2021,22574900,191963,6.96589868458318
TRUE,2023,22703942,202861,6.951290808615409
