YEAR,n_spouse,n_child,n_parent,n_grandchild,n_other_rel,n_non_rel
1900,1.6708507030438216,3.2309210099051042,1.5760900712934929,1.4578920509867648,2.339106224316213,1.9976704103690535
1910,1.6919868395722795,2.978059119887312,1.6304912122324668,1.3123752762616376,2.4251889029655653,1.9298206913078966
1920,1.7026932310032608,2.8205010853695955,1.6520998948617147,1.2464591517089927,2.3886934819986814,1.3563237087393447
1930,1.6916420446493874,2.552050268350609,1.6443343259762742,1.3368481815540674,2.3206135546234927,1.2614259788618576
1940,1.6313201238914212,2.1655171211318076,1.5442834974266362,1.3926367556120436,2.1047224603871064,0.9126034960358937
1950,1.645945797818556,1.802865713613594,1.5186795602709784,1.3375836936474697,1.7276734337119215,0.6287472551395018
1960,1.5976918917185237,1.9371271974552258,1.158439987031912,1.0006437169164117,1.2710089537610376,0.3383959652866077
1970,1.4747558367045404,1.8158457368674787,0.8637090093150717,0.80334871130561,0.858597674583605,0.31684504987156437
1980,1.3028721858463865,1.3959295382442296,0.6149763980100994,0.663763841400291,0.7695090910343217,0.5052939002065757
1990,1.1907788456987258,1.2312408715711458,0.5257674763476554,0.9107412876404412,0.8337230599552973,0.7284757695288337
2000,1.118034253493266,1.1708531170271828,0.6626719079230631,1.0280859311413757,0.9029055969784415,0.8708810031375108
2006,1.0628915019375391,1.103466592592278,0.6963029038312978,0.9289731706493654,0.9572130107501784,0.8398553018670126
2011,1.0327584234187241,1.0903241366656176,0.7264939099656444,1.0919149035650453,0.9355955038175076,0.8686241130411575
2016,1.025237069038253,1.0521815941593287,0.8288703263723846,1.1203995848136765,0.9127456416381994,0.9337076039314169
2021,1.0125612487726323,1.0240192155058283,0.996954517055678,0.99974119363333,0.9648552320544777,0.9819668541760636
2023,1,1,1,1,1,1
