"n_multifam","YEAR","weighted_count","count","percent"
2,1900,1919665,19141,68.8693764798737
4,1900,176787,1763,6.34236205783167
3,1900,497590,4962,17.8514027409055
5,1900,193358,1928,6.93685872138911
5,1910,278290,2775,8.70090751569065
2,1910,2147955,21417,67.1571303419645
4,1910,212788,2122,6.65294731556571
3,1910,559369,5578,17.4890148267791
4,1920,182519.87,1812,6.41070403447122
3,1920,484192.19,4793,17.0064378519032
5,1920,180758.8,1791,6.34884940706005
2,1920,1999640.29999999,19783,70.2340087065655
4,1930,182306.100000001,1806,5.38366459161326
2,1930,2472829.90000015,24496,73.0249112548252
5,1930,186842.250000001,1851,5.5176212180632
3,1930,544304.399999993,5392,16.0738029354983
5,1940,54753,582,1.65411471344297
3,1940,471047,4816,14.2305585707298
2,1940,2638161,26730,79.7001246786737
4,1940,146148,1513,4.41520203715346
3,1950,416438,5591,14.9532824379239
4,1950,140141,2246,5.03212471996573
2,1950,2179614,24376,78.2646726467157
5,1950,48734,911,1.74992019539471
5,1960,27998,281,1.39754443884832
2,1960,1614462,16206,80.5872701561518
4,1960,86372,867,4.31133324781081
3,1960,274539,2756,13.7038521571891
3,1970,318400,3184,14.2530999597117
4,1970,103600,1036,4.63762925824791
2,1970,1782500,17825,79.7931868033484
5,1970,29400,294,1.31608397869197
3,1980,476800,4768,10.3355588311801
5,1980,58200,582,1.26159715598717
4,1980,136700,1367,2.96323593167433
2,1980,3941500,39415,85.4396080811584
3,1990,602740,5646,13.0671910829006
5,1990,93596,892,2.02912834156546
4,1990,193401,1791,4.192865618051
2,1990,3722884,34317,80.710814957483
2,2000,4512116,42043,79.2273008293192
5,2000,123016,1161,2.16001220687135
3,2000,802832,7513,14.0967591213089
4,2000,257189,2423,4.51592784250046
2,2006,4154513,36548,79.2112683468034
5,2006,101126,802,1.92810053135923
3,2006,736410,6048,14.0406276555807
4,2006,252802,1969,4.82000346625672
5,2011,90979,807,1.6574897662819
3,2011,809156,6739,14.7415094618054
2,2011,4327067,40124,78.8321400599713
4,2011,261761,2139,4.7688607119414
4,2016,311703,2818,4.96880300822499
3,2016,936579,8512,14.9298420375818
5,2016,121041,1130,1.92949341173669
2,2016,4903878,46047,78.1718615424566
2,2021,4942074,44301,77.835132161036
5,2021,125344,1087,1.97410374785827
3,2021,969290,8230,15.2658206357029
4,2021,312705,2562,4.92494345540289
2,2023,5060757,45723,76.4411225557604
5,2023,145998,1258,2.20525328738288
3,2023,1043239,8730,15.7577928072715
4,2023,370470,2904,5.59583134958516
