is_multifam,YEAR,age_bucket,weighted_count,count,percent
TRUE,1900,17 or younger,4769464,47607,15.723267350935327
TRUE,1900,50-65,1456861,14554,21.426562824940486
TRUE,1900,18-29,4360808,43575,26.817086747778653
TRUE,1900,30-49,4186139,41840,23.706360098752455
TRUE,1900,65 and older,676357,6754,22.580473926307658
TRUE,1910,30-49,5002416,50095,22.365100968558142
TRUE,1910,17 or younger,4896681,48968,14.12819723221059
TRUE,1910,18-29,5123760,51289,25.603945870803052
TRUE,1910,50-65,1692101,16962,19.29420272321644
TRUE,1910,65 and older,737422,7379,19.236585464472462
TRUE,1920,17 or younger,3884494.4800000847,38515,9.955612865795706
TRUE,1920,65 and older,712588.0700000031,7050,15.046463988403017
TRUE,1920,50-65,1763350.5899999754,17447,16.2690663699595
TRUE,1920,18-29,3788398.5500000953,37548,17.9547846632678
TRUE,1920,30-49,4565147.290000026,45210,16.958639617768863
TRUE,1930,30-49,5095130.699998496,50473,15.79563842642801
TRUE,1930,17 or younger,4081027.349998965,40427,9.552232751399886
TRUE,1930,18-29,4160298.9499989236,41213,17.161284415542713
TRUE,1930,50-65,2193800.249999847,21732,15.936589799788658
TRUE,1930,65 and older,999395.4000000621,9900,15.690855132387608
TRUE,1940,18-29,3320746,34413,12.643880354537002
TRUE,1940,50-65,2330101,23740,13.818173645164563
TRUE,1940,17 or younger,3007613,32477,7.593719771440021
TRUE,1940,30-49,4335180,44491,12.364625803774262
TRUE,1940,65 and older,1264720,12842,14.89667370204462
TRUE,1950,17 or younger,2170734,41397,4.678719254127229
TRUE,1950,65 and older,1407854,15774,12.058879129149
TRUE,1950,50-65,2090915,25190,9.960917411586356
TRUE,1950,18-29,2245126,32886,8.56676881599476
TRUE,1950,30-49,3110407,43484,7.54228619895189
TRUE,1960,30-49,1802833,18097,3.9193397768204257
TRUE,1960,17 or younger,1678907,16853,2.615716011296655
TRUE,1960,18-29,1428441,14339,5.921165860840844
TRUE,1960,50-65,1334735,13398,5.377504233862723
TRUE,1960,65 and older,1092126,10963,7.153192238267089
TRUE,1970,65 and older,874500,8745,4.564934827660007
TRUE,1970,30-49,1495700,14957,3.270397621051941
TRUE,1970,18-29,2310300,23103,6.918743767201027
TRUE,1970,50-65,1063100,10631,3.6394820987189407
TRUE,1970,17 or younger,1695800,16958,2.4326181414958064
TRUE,1980,65 and older,741600,7416,3.09225476910247
TRUE,1980,30-49,3055900,30559,5.675469875937895
TRUE,1980,50-65,1159300,11593,3.4981261654888565
TRUE,1980,18-29,6279400,62794,13.670305173006842
TRUE,1980,17 or younger,2768400,27684,4.319537152325941
TRUE,1990,18-29,6129813,55611,13.902056052078462
TRUE,1990,50-65,1298307,13213,4.025837657630633
TRUE,1990,65 and older,794606,8564,2.7002505613783963
TRUE,1990,17 or younger,2820555,28666,4.4652123914707795
TRUE,1990,30-49,4296797,41176,5.922074361530736
TRUE,2000,65 and older,917672,9689,2.784057630082744
TRUE,2000,30-49,5675482,54469,6.693284690081951
TRUE,2000,18-29,7224689,65512,16.8429631593453
TRUE,2000,50-65,1899093,19547,4.622391050905002
TRUE,2000,17 or younger,3822570,38274,5.318750978941847
TRUE,2006,65 and older,915811,9227,2.5940720811402858
TRUE,2006,30-49,5664903,41425,6.694693311143521
TRUE,2006,50-65,2234490,20473,4.344582270968521
TRUE,2006,18-29,7464317,51925,16.086658840486066
TRUE,2006,17 or younger,3222589,28332,4.381572202284334
TRUE,2011,30-49,5985906,43110,7.308539032582336
TRUE,2011,17 or younger,3150640,28089,4.279007639206958
TRUE,2011,50-65,3029117,27499,5.0700800606524865
TRUE,2011,18-29,8177499,56261,16.902401542698033
TRUE,2011,65 and older,1210781,12596,3.033647988634516
TRUE,2016,65 and older,1798013,18381,3.7705582013116246
TRUE,2016,30-49,6571404,47791,8.021412032784527
TRUE,2016,18-29,9066219,65216,18.231815982557727
TRUE,2016,50-65,3850939,34631,6.1806214850569035
TRUE,2016,17 or younger,3461877,29975,4.720045671813844
TRUE,2021,65 and older,2033284,23103,3.731810629556984
TRUE,2021,30-49,5934428,48299,6.97700934369794
TRUE,2021,50-65,3656242,34537,5.824233557461747
TRUE,2021,18-29,7642120,58618,15.743157447684075
TRUE,2021,17 or younger,3308826,27406,4.519240726539817
TRUE,2023,65 and older,2201226,26455,3.825960416481776
TRUE,2023,30-49,5967195,51049,6.891765364851614
TRUE,2023,50-65,3452882,34864,5.6122513994861976
TRUE,2023,18-29,7693565,61857,15.851183216393514
TRUE,2023,17 or younger,3389074,28636,4.678703958551315
